"State"	"State Code"	"Mortality-Incidence Age-Adjusted Rate Ratio"	"Death Counts"	"Mortality Population"	"Mortality Age-Adjusted Rate"	"Incidence Counts"	"Incidence Population"	"Incidence Age-Adjusted Rate"
	"Alabama"	"01"	0.443	9913	4565917	204.696	22684	4565917	462.031
	"Alaska"	"02"	0.360	732	666946	173.257	2375	666946	481.738
	"Arizona"	"04"	0.394	9820	5839077	164.200	25139	5839077	417.102
	"Arkansas"	"05"	0.445	6361	2781097	207.496	14233	2781097	466.061
	"California"	"06"	0.377	54729	35827943	169.169	148345	35827943	448.689
	"Colorado"	"08"	0.359	6395	4631888	160.461	18902	4631888	447.509
	"Connecticut"	"09"	0.346	7052	3506956	176.749	19805	3506956	510.811
	"Delaware"	"10"	0.377	1799	845150	199.054	4824	845150	528.550
	"District of Columbia"	"11"	0.422	1150	567136	206.182	2773	567136	488.297
	"Florida"	"12"	0.367	40592	17842038	177.913	106964	17842038	484.213
	"Georgia"	"13"	0.406	14358	8925922	190.775	37507	8925922	470.389
	"Hawaii"	"15"	0.351	2169	1292729	151.444	6120	1292729	431.334
	"Idaho"	"16"	0.365	2368	1428241	174.674	6579	1428241	478.373
	"Illinois"	"17"	0.392	24250	12609903	192.373	61987	12609903	490.728
	"Indiana"	"18"	0.418	12796	6278616	200.003	30716	6278616	478.213
	"Iowa"	"19"	0.375	6453	2964454	183.119	16473	2964454	488.060
	"Kansas"	"20"	0.397	5428	2745299	185.496	13356	2745299	466.681
	"Kentucky"	"21"	0.423	9505	4182742	219.511	22783	4182742	518.343
	"Louisiana"	"22"	0.447	9249	4411396	215.438	21095	4411396	481.520
	"Maine"	"23"	0.383	3218	1318787	204.774	8321	1318787	535.068
	"Maryland"	"24"	0.411	10371	5592379	190.691	25938	5592379	464.450
	"Massachusetts"	"25"	0.360	13182	6403290	186.041	35909	6403290	516.852
	"Michigan"	"26"	0.382	20094	10051137	192.695	52866	10051137	504.977
	"Minnesota"	"27"	0.355	8823	5119598	169.052	24651	5119598	476.287
	"Mississippi"	"28"	0.449	6065	2876229	211.294	13695	2876229	470.318
	"Missouri"	"29"	0.403	12417	5790300	197.915	30674	5790300	491.671
	"Montana"	"30"	0.374	1956	940102	184.335	5234	940102	493.110
	"Nebraska"	"31"	0.361	3355	1761497	175.066	9035	1761497	485.235
	"Nevada"	"32"	0.426	4238	2432143	191.737	10638	2432143	450.582
	"New Hampshire"	"33"	0.357	2549	1298492	189.875	7247	1298492	531.618
	"New Jersey"	"34"	0.362	17171	8651974	185.010	47109	8651974	510.945
	"New Mexico"	"35"	0.388	3141	1932274	163.147	8286	1932274	421.023
	"New York"	"36"	0.347	35555	19132610	173.534	101845	19132610	500.464
	"North Carolina"	"37"	0.390	16724	8705407	191.595	43904	8705407	491.667
	"North Dakota"	"38"	0.353	1302	646089	169.889	3486	646089	481.157
	"Ohio"	"39"	0.408	24702	11463320	198.132	60215	11463320	486.130
	"Oklahoma"	"40"	0.417	7446	3548597	197.981	17887	3548597	475.287
	"Oregon"	"41"	0.390	7326	3613202	186.777	18723	3613202	478.657
	"Pennsylvania"	"42"	0.387	29615	12449990	195.164	73874	12449990	504.410
	"Rhode Island"	"44"	0.366	2291	1067916	186.460	6020	1067916	510.124
	"South Carolina"	"45"	0.403	8652	4270150	198.268	21989	4270150	491.603
	"South Dakota"	"46"	0.394	1612	775493	181.746	3929	775493	460.764
	"Tennessee"	"47"	0.439	12995	5991057	210.584	30284	5991057	480.179
	"Texas"	"48"	0.386	34291	22773020	179.507	92577	22773020	465.188
	"Utah"	"49"	0.336	2520	2457719	141.000	7931	2457719	420.230
	"Vermont"	"50"	0.351	1202	621215	176.121	3464	621215	501.781
	"Virginia"	"51"	0.415	13877	7577105	190.563	34612	7577105	459.304
	"Washington"	"53"	0.359	11048	6257305	181.400	31437	6257305	504.862
	"West Virginia"	"54"	0.413	4617	1820492	207.647	11105	1820492	502.868
	"Wisconsin"	"55"	0.386	10943	5546166	182.890	27938	5546166	473.685
	"Wyoming"	"56"	0.396	886	514157	169.327	2297	514157	428.045
