"State"	"State Code"	"Mortality-Incidence Age-Adjusted Rate Ratio"	"Death Counts"	"Mortality Population"	"Mortality Age-Adjusted Rate"	"Incidence Counts"	"Incidence Population"	"Incidence Age-Adjusted Rate"
	"Alabama"	"01"	0.391	10354	4853875	175.379	26443	4853875	449.090
	"Alaska"	"02"	0.406	978	737709	161.122	2743	737709	397.303
	"Arizona"	"04"	0.374	11776	6817565	141.106	30832	6817565	377.278
	"Arkansas"	"05"	0.395	6727	2977853	185.450	16888	2977853	470.060
	"California"	"06"	0.360	59629	38993940	143.468	166623	38993940	398.018
	"Colorado"	"08"	0.351	7604	5448819	134.898	22528	5448819	384.283
	"Connecticut"	"09"	0.312	6666	3584730	146.211	20795	3584730	468.563
	"Delaware"	"10"	0.339	2010	944076	166.140	5872	944076	490.618
	"District of Columbia"	"11"	0.441	1072	670377	167.670	2486	670377	380.032
	"Florida"	"12"	0.370	44027	20244914	150.083	111972	20244914	405.136
	"Georgia"	"13"	0.357	16945	10199398	163.803	49553	10199398	458.636
	"Hawaii"	"15"	0.329	2462	1425157	134.388	7131	1425157	408.493
	"Idaho"	"16"	0.351	2849	1652828	153.773	8132	1652828	437.883
	"Illinois"	"17"	0.359	24713	12839047	167.912	68549	12839047	467.984
	"Indiana"	"18"	0.394	13511	6612768	176.360	33977	6612768	447.389
	"Iowa"	"19"	0.350	6513	3121997	164.409	17878	3121997	470.151
	"Kansas"	"20"	0.363	5604	2906721	164.400	15014	2906721	452.891
	"Kentucky"	"21"	0.383	10312	4424611	196.192	26920	4424611	511.974
	"Louisiana"	"22"	0.378	9397	4668960	180.315	25165	4668960	477.497
	"Maine"	"23"	0.379	3398	1329453	177.473	8692	1329453	467.978
	"Maryland"	"24"	0.346	10567	5994983	155.254	30924	5994983	448.687
	"Massachusetts"	"25"	0.338	12750	6784240	153.216	36933	6784240	452.804
	"Michigan"	"26"	0.386	20732	9917715	168.021	53199	9917715	435.843
	"Minnesota"	"27"	0.323	9925	5482435	153.228	30277	5482435	474.988
	"Mississippi"	"28"	0.412	6485	2989390	188.277	15781	2989390	456.663
	"Missouri"	"29"	0.385	12965	6076204	173.081	32952	6076204	449.430
	"Montana"	"30"	0.355	2130	1032073	157.685	5918	1032073	443.903
	"Nebraska"	"31"	0.346	3514	1893765	157.960	9854	1893765	456.065
	"Nevada"	"32"	0.452	5013	2883758	157.781	11431	2883758	348.757
	"New Hampshire"	"33"	0.347	2773	1330111	162.061	7978	1330111	466.427
	"New Jersey"	"34"	0.315	16269	8935421	150.811	51099	8935421	479.509
	"New Mexico"	"35"	0.392	3591	2080328	143.463	9091	2080328	366.213
	"New York"	"36"	0.308	35088	19747183	148.445	111951	19747183	481.972
	"North Carolina"	"37"	0.358	19321	10035186	164.782	54429	10035186	460.576
	"North Dakota"	"38"	0.342	1320	756835	152.274	3737	756835	445.864
	"Ohio"	"39"	0.380	25396	11605090	175.087	65422	11605090	460.794
	"Oklahoma"	"40"	0.417	8280	3907414	184.183	19761	3907414	442.135
	"Oregon"	"41"	0.401	8093	4024634	160.350	19883	4024634	399.578
	"Pennsylvania"	"42"	0.346	28693	12791904	166.986	79335	12791904	483.098
	"Rhode Island"	"44"	0.356	2226	1055607	163.213	5961	1055607	458.037
	"South Carolina"	"45"	0.368	9950	4894834	166.835	27234	4894834	452.777
	"South Dakota"	"46"	0.355	1640	857919	153.932	4406	857919	433.076
	"Tennessee"	"47"	0.393	14214	6595056	180.756	36244	6595056	459.764
	"Texas"	"48"	0.378	39120	27429639	149.635	107271	27429639	395.994
	"Utah"	"49"	0.314	3091	2990632	126.021	10412	2990632	400.805
	"Vermont"	"50"	0.380	1399	626088	165.384	3625	626088	435.634
	"Virginia"	"51"	0.397	14947	8367587	159.628	38420	8367587	401.664
	"Washington"	"53"	0.363	12687	7160290	156.734	35389	7160290	431.810
	"West Virginia"	"54"	0.406	4839	1841053	189.727	11548	1841053	467.711
	"Wisconsin"	"55"	0.349	11423	5767891	159.470	32102	5767891	456.434
	"Wyoming"	"56"	0.356	931	586555	139.702	2630	586555	391.901
